recall,precision
0.76,0.17674418604651163
0.76,0.17715617715617715
0.75,0.17523364485981308
0.75,0.1756440281030445
0.75,0.176056338028169
0.75,0.17647058823529413
0.75,0.17688679245283018
0.75,0.1773049645390071
0.75,0.17772511848341233
0.75,0.17814726840855108
0.74,0.1761904761904762
0.74,0.1766109785202864
0.74,0.17703349282296652
0.74,0.1774580335731415
0.74,0.1778846153846154
0.74,0.1783132530120482
0.74,0.178743961352657
0.74,0.1791767554479419
0.74,0.1796116504854369
0.74,0.18004866180048662
0.74,0.18048780487804877
0.74,0.18092909535452323
0.74,0.18137254901960784
0.74,0.18181818181818182
0.74,0.18226600985221675
0.74,0.18271604938271604
0.73,0.1806930693069307
0.73,0.18114143920595532
0.73,0.18159203980099503
0.73,0.18204488778054864
0.73,0.1825
0.73,0.18295739348370926
0.73,0.18341708542713567
0.72,0.181360201511335
0.72,0.18181818181818182
0.72,0.18227848101265823
0.72,0.18274111675126903
0.72,0.183206106870229
0.72,0.1836734693877551
0.72,0.18414322250639387
0.72,0.18461538461538463
0.72,0.18508997429305912
0.71,0.18298969072164947
0.71,0.1834625322997416
0.71,0.18393782383419688
0.7,0.18181818181818182
0.69,0.1796875
0.68,0.17754569190600522
0.68,0.17801047120418848
0.68,0.1784776902887139
0.68,0.17894736842105263
0.68,0.17941952506596306
0.68,0.17989417989417988
0.68,0.18037135278514588
0.68,0.18085106382978725
0.68,0.18133333333333335
0.68,0.18181818181818182
0.68,0.18230563002680966
0.68,0.1827956989247312
0.68,0.18328840970350405
0.68,0.1837837837837838
0.68,0.1842818428184282
0.68,0.18478260869565216
0.68,0.18528610354223432
0.68,0.18579234972677597
0.68,0.1863013698630137
0.68,0.18681318681318682
0.68,0.18732782369146006
0.68,0.1878453038674033
0.68,0.1883656509695291
0.68,0.18888888888888888
0.68,0.1894150417827298
0.68,0.18994413407821228
0.68,0.19047619047619047
0.68,0.19101123595505617
0.68,0.19154929577464788
0.68,0.192090395480226
0.68,0.19263456090651557
0.68,0.19318181818181818
0.68,0.19373219373219372
0.68,0.19428571428571428
0.68,0.19484240687679083
0.68,0.19540229885057472
0.68,0.19596541786743515
0.68,0.19653179190751446
0.68,0.19710144927536233
0.67,0.19476744186046513
0.67,0.19533527696793002
0.67,0.195906432748538
0.66,0.1935483870967742
0.66,0.19411764705882353
0.66,0.19469026548672566
0.66,0.1952662721893491
0.65,0.19287833827893175
0.65,0.19345238095238096
0.65,0.19402985074626866
0.65,0.19461077844311378
0.65,0.19519519519519518
0.65,0.19578313253012047
0.65,0.19637462235649547
0.65,0.19696969696969696
0.65,0.19756838905775076
0.65,0.19817073170731708
0.65,0.19877675840978593
0.65,0.19938650306748465
0.65,0.2
0.65,0.2006172839506173
0.65,0.20123839009287925
0.65,0.20186335403726707
0.65,0.20249221183800623
0.65,0.203125
0.65,0.20376175548589343
0.65,0.20440251572327045
0.64,0.20189274447949526
0.64,0.20253164556962025
0.64,0.20317460317460317
0.64,0.20382165605095542
0.64,0.20447284345047922
0.64,0.20512820512820512
0.64,0.2057877813504823
0.64,0.2064516129032258
