recall,precision
0.97,0.20815450643776823
0.97,0.2086021505376344
0.97,0.20905172413793102
0.97,0.20950323974082075
0.97,0.20995670995670995
0.97,0.210412147505423
0.97,0.2108695652173913
0.97,0.2113289760348584
0.97,0.21179039301310043
0.97,0.212253829321663
0.97,0.21271929824561403
0.97,0.21318681318681318
0.97,0.21365638766519823
0.97,0.2141280353200883
0.97,0.21460176991150443
0.97,0.21507760532150777
0.97,0.21555555555555556
0.97,0.21603563474387527
0.97,0.21651785714285715
0.97,0.21700223713646533
0.97,0.21748878923766815
0.96,0.2157303370786517
0.96,0.21621621621621623
0.96,0.21670428893905191
0.96,0.2171945701357466
0.96,0.21768707482993196
0.96,0.21818181818181817
0.96,0.21867881548974943
0.96,0.2191780821917808
0.96,0.21967963386727687
0.96,0.22018348623853212
0.95,0.21839080459770116
0.95,0.21889400921658986
0.95,0.21939953810623555
0.95,0.2199074074074074
0.95,0.22041763341067286
0.95,0.22093023255813954
0.95,0.22144522144522144
0.95,0.2219626168224299
0.95,0.2224824355971897
0.95,0.22300469483568075
0.95,0.2235294117647059
0.95,0.2240566037735849
0.95,0.22458628841607564
0.95,0.22511848341232227
0.95,0.22565320665083136
0.95,0.2261904761904762
0.95,0.22673031026252982
0.95,0.22727272727272727
0.95,0.2278177458033573
0.95,0.2283653846153846
0.95,0.2289156626506024
0.95,0.22946859903381642
0.95,0.23002421307506055
0.95,0.23058252427184467
0.95,0.23114355231143552
0.95,0.23170731707317074
0.95,0.23227383863080683
0.95,0.23284313725490197
0.95,0.2334152334152334
0.95,0.23399014778325122
0.95,0.2345679012345679
0.95,0.23514851485148514
0.95,0.23573200992555832
0.95,0.236318407960199
0.95,0.23690773067331672
0.95,0.23809523809523808
0.95,0.23869346733668342
0.95,0.23929471032745592
0.95,0.2398989898989899
0.95,0.24050632911392406
0.95,0.24111675126903553
0.94,0.23918575063613232
0.94,0.23979591836734693
0.94,0.24040920716112532
0.94,0.24102564102564103
0.94,0.2416452442159383
0.94,0.2422680412371134
0.94,0.24289405684754523
0.94,0.24352331606217617
0.93,0.24155844155844156
0.93,0.2421875
0.93,0.24281984334203655
0.93,0.24345549738219896
0.93,0.2440944881889764
0.92,0.24210526315789474
0.92,0.24274406332453827
0.92,0.24338624338624337
0.92,0.2440318302387268
0.92,0.24468085106382978
0.92,0.24533333333333332
0.92,0.24598930481283424
0.92,0.24664879356568364
